code,name
000034,神州数码
000552,靖远煤电
000571,新大洲Ａ
000723,美锦能源
000780,平庄能源
000933,*ST神火
000937,冀中能源
000968,*ST煤气
000983,西山煤电
002128,露天煤业
600121,郑州煤电
600123,兰花科创
600157,永泰能源
600179,安通控股
600188,兖州煤业
600348,阳泉煤业
600381,青海春天
600395,盘江股份
600397,安源煤业
600403,*ST大有
600408,安泰集团
600508,上海能源
600546,*ST山煤
600652,游久游戏
600714,金瑞矿业
600721,百花村
600725,ST云维
600740,山西焦化
600792,云煤能源
600971,恒源煤电
600997,开滦股份
601001,大同煤业
601011,宝泰隆
601015,陕西黑猫
601088,中国神华
601101,昊华能源
601225,陕西煤业
601666,平煤股份
601699,潞安环能
601898,中煤能源
601918,新集能源
