code,name
000049,德赛电池
000922,*ST佳电
002164,宁波东力
002176,江特电机
002249,大洋电机
002266,浙富控股
002298,中电鑫龙
002309,中利集团
002322,理工环科
002334,英威腾
002335,科华恒盛
002339,积成电子
002364,中恒电气
002380,科远股份
002452,长高集团
002546,新联电子
002576,通达动力
002580,圣阳股份
002606,大连电瓷
002617,露笑科技
002647,民盛金科
002664,信质电机
002665,首航节能
002670,国盛金控
002684,猛狮科技
002706,良信电器
002730,电光科技
002733,雄韬股份
300068,南都电源
300140,中环装备
300217,东方电热
300222,科大智能
300252,金信诺
300265,通光线缆
300274,阳光电源
300283,温州宏丰
300356,光一科技
300376,易事特
300403,地尔汉宇
300407,凯发电气
300438,鹏辉能源
300447,全信股份
600112,*ST天成
600202,哈空调
600379,宝光股份
600405,动力源
600468,百利电气
600482,中国动力
600560,金自天正
600577,精达股份
600847,*ST万里
600885,宏发股份
601311,骆驼股份
601616,广电电气
603015,弘讯科技
603606,东方电缆
603703,盛洋科技
603988,中电电机
